Genre,Demo,Geo,Medium,Publisher,Platform,Section,Ad Unit,Deal Type,Targeting,Est Imp,CTR,Est Clicks,VTR,Est Video Views,eCPM ,eCPC ,Net Unit Cost,Total Net Cost,% Allocation,Duplication,Reach,Effective Reach,Audience Pool,% Reach,Avg. Freq,Start Date,End Date,Days,Reach T,Freq,Imp F,Budget T,Unnamed: 36,PG possibility,DV CPM,Total_Days,Campaign Name,Phase/inputs
Entertainment,25-44,Kochi,Video,YouTube,Desktop & Mobile,Instream,Skippable 31 Sec,CPV,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",182117.34,0.004,728.46936,0.35,63741.068999999996,104.99999999999999,26.249999999999993,0.3,19122.320699999997,0.0016461823783236794,0.8,121411.56,24282.311999999994,303528.89999999997,0.4,1.5,2024-07-02,2024-07-09,8.0,121411.56,1.5,182117.34,19122.3207,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Kochi,Video,YouTube,Desktop & Mobile,Bumper,6 sec Video - Bumper,CPM,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",242823.12,0.004,971.29248,0.85,206399.652,60.0,15.0,60.0,14569.3872,0.0012542341930085177,0.9,121411.56,12141.155999999997,303528.89999999997,0.4,2.0,2024-07-02,2024-07-09,8.0,151764.44999999998,2.0,303528.89999999997,18211.733999999997,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,18+,Metros,Video,YouTube,CTV,Run On Site,Skippable 31 Sec,CPM,"MF 18 +, Metros | Affinity - Shoppers, Light TV Viewers",4760000.0,0.0,0.0,0.2,952000.0,150.0,,150.0,714000.0,0.06146608649457005,1.0,2380000.0,0.0,17000000.0,0.14,2.0,2024-07-02,2024-07-09,8.0,1700000.0,1.5,2550000.0,382500.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,18+,Metros,Video,YouTube,CTV,Bumper,6 sec Video - Bumper,CPM,"MF 18 +, Metros | Affinity - Shoppers, Light TV Viewers",4760000.0,0.0,0.0,0.85,4046000.0,110.0,,110.0,523600.0,0.04507513009601803,1.0,2380000.0,0.0,17000000.0,0.14,2.0,2024-07-02,2024-07-09,8.0,1700000.0,2.0,3400000.0,374000.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,18+,RO C1,Video,YouTube,CTV,Run On Site,Skippable 31 Sec,CPM,"MF 18+, RO C1 | Affinity - Shoppers, Light TV Viewers",1659705.068,0.0,0.0,0.2,331941.0136,150.0,,150.0,248955.7602,0.021431843543101736,1.0,829852.534,0.0,5927518.1,0.14,2.0,2024-07-02,2024-07-09,8.0,592751.8099999999,1.5,889127.7149999999,133369.15724999996,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,18+,RO C1,Video,YouTube,CTV,Bumper,6 sec Video - Bumper,CPM,"MF 18+, RO C1 | Affinity - Shoppers, Light TV Viewers",1659705.068,0.0,0.0,0.85,1410749.3077999998,110.0,,110.0,182567.55748,0.01571668526494127,1.0,829852.534,0.0,5927518.1,0.14,2.0,2024-07-02,2024-07-09,8.0,592751.8099999999,2.0,1185503.6199999999,130405.39819999998,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,18+,Metros,Video,PMP,CTV,Run across OTT,Non-Skip| Video 25 Sec ,CPM,MF 18+,1260000.0000000002,0.0,0.0,0.85,1071000.0000000002,337.5,,337.5,425250.00000000006,0.036608477985736576,1.0,630000.0000000001,0.0,4500000.0,0.14,2.0,2024-07-02,2024-07-09,8.0,592751.8099999999,1.5,889127.7149999999,133369.15724999996,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,18+,RO C1,Video,PMP,CTV,Run across OTT,Non-Skip| Video 25 Sec ,CPM,MF 18+,1260000.0000000002,0.0,0.0,0.85,1071000.0000000002,337.5,,337.5,425250.00000000006,0.036608477985736576,1.0,630000.0000000001,0.0,4500000.0,0.14,2.0,2024-07-02,2024-07-09,8.0,592751.8099999999,1.5,889127.7149999999,133369.15724999996,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,18+,Metros,Video,PMP,CTV,Run across OTT,Nonskip 10 sec,CPM,MF 18+,2520000.0000000005,0.0,0.0,0.85,2142000.0000000005,170.0,,170.0,428400.00000000006,0.036879651896742034,1.0,1680000.0000000002,0.0,12000000.0,0.14,1.5,2024-07-02,2024-07-09,8.0,1800000.0,1.5,2700000.0,459000.0,,Yes,6.2,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,18+,RO C1,Video,PMP,CTV,Run across OTT,Nonskip 10 sec,CPM,MF 18+,840000.0,0.0,0.0,0.85,714000.0,170.0,,170.0,142800.0,0.01229321729891401,1.0,560000.0,0.0,4000000.0,0.14,1.5,2024-07-02,2024-07-09,8.0,600000.0,1.5,900000.0,153000.0,,Yes,6.2,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,RO C1,Video,PMP,Desktop & Mobile,Run across OTT,Non-Skip| Video 25 Sec ,CPM,MF 25-44| Online Shoppers with 20k+ handsets,1764000.0,0.003,5292.0,0.85,1499400.0,285.0,95.0,285.0,502740.0,0.04327935619647079,0.9,1176000.0,117599.99999999997,5880000.0,0.2,1.5,2024-07-02,2024-07-09,8.0,,,,,,Yes,6.2,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,C1 Geos,Video,Hotstar,Desktop & Mobile,Run across OTT,Non-Skip| Video 10 Sec ,CPM,MF 25-44 (A.in minus prime video app),2700000.0,0.01,27000.0,0.85,2295000.0,120.0,12.0,120.0,324000.0,0.02789217370341834,0.9,900000.0,89999.99999999999,4500000.0,0.2,3.0,2024-07-02,2024-07-09,8.0,,,,,,,6.2,8,pd_plan.xlsx,Media Plan Phase 1
Network,25-44,Metros,Display,Google Demand Gen,Desktop & Mobile,Run across Network,Banner,CPC,MF 25-44 | Affinity - Shopping Enthusiasts,25000000.0,0.02,500000.0,0.0,0.0,40.0,2.0,2.0,100000.0,0.02680724364068166,,,,,,,2024-07-02,2024-07-09,8.0,0.0,0.0,0.0,0.0,0.0,Yes,6.2,8,pd_plan.xlsx,Media Plan Phase 1
Network,25-44,RO C1,Display,Google Demand Gen,Desktop & Mobile,Run across Network,Banner,CPC,MF 25-44 | Affinity - Shopping Enthusiasts,25000000.0,0.02,500000.0,0.0,0.0,40.0,2.0,2.0,100000.0,0.02680724364068166,,,,,,,2024-07-02,2024-07-09,8.0,0.0,0.0,0.0,0.0,0.0,Yes,6.2,8,pd_plan.xlsx,Media Plan Phase 1
Network,25-44,Metros,Display,DSP,Desktop & Mobile,Run across Network,Banner,CPM,MF 25-44 | All Amazon Clickers,4164000.0,0.02,83280.0,0.0,0.0,105.0,5.25,105.0,437220.0,0.037638938847557306,1.0,2776000.0,0.0,34700000.0,0.08,1.5,2024-07-02,2024-07-09,8.0,,,,,,,,8,pd_plan.xlsx,Media Plan Phase 1
Network,25-44,ROC1,Display,DSP,Desktop & Mobile,Run across Network,Banner,CPM,MF 25-44 | All Amazon Clickers,2556000.0,0.02,51120.0,0.0,0.0,105.0,5.25,105.0,268380.0,0.02310401721766486,1.0,1704000.0,0.0,21300000.0,0.08,1.5,2024-07-02,2024-07-09,8.0,,,,,,,,8,pd_plan.xlsx,Media Plan Phase 1
