Date,day,geocity,cyplannedimpressions24,lyplannedimpressions,cydeliveredimpressions24,lydeliveredimpressions,deliveredimpressionpercent,lydeliveredimpressionpercent,deliveredimpressionsvsly,cyplannedviews24,lyplannedviews,cydeliveredviews24,lydeliveredviews,deliveredviewspercent,lydeliveredviewspercent,deliveredviewsvsly,plannedctr,lyplannedctr,deliveredctr,lydeliveredctr,deliveredctrpercent,lydeliveredctrpercent,deliveredctrvsly,plannedvtr,lyplannedvtr,deliveredvtr,lydeliveredvtr,deliveredvtrpercent,lydeliveredvtrpercent,deliveredvtrvsly,cyplannedclicks24,lyplannedclicks,cydeliveredclicks24,lydeliveredclicks,deliveredclickspercent,lydeliveredclickspercent,deliveredclicksvsly,cyplannedspends24,lyplannedspends,cydeliveredspends24,lydeliveredspends,deliveredspendspercent,lydeliveredspendspercent,deliveredspendsvsly
2024-07-02,T-18,Vizag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Vijaywada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,"C1, C2 & Metros",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,"Bhubaneswar, Lucknow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,"Chandigarh,Jaipur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,"Coimbatore, Vizag",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,"Indore,Patna",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,RO C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Thane & Nagpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,C1 Geos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-03,T-17,AP + TG C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,
2024-07-03,T-17,"Ahemdabad, Gandhinagar, Surat, Vadodara",,,,885782.0,,,,,,,537921.0,,,,,,,0.004939138523925752,,1.0,,,,,0.607283733469409,,1.0,,,,,4375.0,,,,,,,76873.039712,,,
2024-07-03,T-17,Bangalore,,577125.0,,,,,,,234900.0,,,,,,,0.007078947368421053,,,,,,,0.4070175438596491,,,,,,,4085.4375,,,,,,,50574.375,,,,,
2024-07-03,T-17,Bharuch,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,
2024-07-03,T-17,Bhopal,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,
2024-07-03,T-17,Bhubaneswar,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,
2024-07-03,T-17,Chandigarh,,0.0,,355148.0,,inf,,,0.0,,205040.0,,inf,,,,,0.0057074796986045255,,1.0,,,,,0.5773367722752205,,1.0,,,0.0,,2027.0,,inf,,,0.0,,29452.464841,,inf,
2024-07-03,T-17,Chennai,,210900.0,,,,,,,85840.00000000001,,,,,,,0.007078947368421053,,,,,,,0.40701754385964917,,,,,,,1492.95,,,,,,,18481.5,,,,,
2024-07-03,T-17,Coimbatore,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,
